Artifact #,site,period,additional looks,class,is_valid,indicative,additional,material,height[cm],width[cm],diameter[cm],length[cm],object name,,orig site,orig period
1,Afeq,Iron I,2,269,1,yes,information,Pottery,none,none,none,,"Head;""Ashdoda"" Figurine;",,Afeq,Iron I
2,Afeq,Iron I,2,269,1,yes,,Pottery,none,none,none,,"Head;""Ashdoda"" Figurine;",,Afeq,Iron I
3,Afeq,Iron I,2,269,1,yes,,Pottery,none,none,none,,"Head;""Ashdoda"" Figurine;",,Afeq,Iron I
4,Mezad Hazeva,Iron II,0,55,1,yes,,Pottery,36,none,16,,"""Cult"" Stand;",,Mezad Hazeva,Iron II
5,Mezad Hazeva,Iron II,2,55,1,yes,,Pottery,45.5,none,19.5,,"""Cult"" Stand;Fenestrated",,Mezad Hazeva,Iron II
6,Mezad Hazeva,Iron II,2,55,1,yes,,Pottery,51,none,21,,"""Cult"" Stand;Decorated in Relief, Human Images, Zoomorphic",,Mezad Hazeva,Iron II
7,Megiddo- T.,Iron II,2,56,1,yes,,"Limestone,Pottery",none,none,none,,"""Cult"" Stand;Painted",,Megiddo- T.,Iron II
8,Megiddo- T.,Iron II,1,56,1,yes,,Limestone,57,22,none,,"""Cult"" Stand;Painted",,Megiddo- T.,Iron II
9,Megiddo- T.,Iron I,2,33,1,yes,,Pottery,37,17,none,,"""Cult"" Stand;Fenestrated, Decorated in Relief, Female Image",,Megiddo- T.,Iron I
10,Mezad Hazeva,Iron II,0,55,1,yes,,Pottery,25,none,19,,"""Cult"" Stand;Engraved, Zoomorphic, Ox",,Mezad Hazeva,Iron II
11,Ashdod- T.,Iron I,4,419,1,yes,,Pottery,35,none,none,,"""Cult"" Stand;Philistine, Decorated in Relief, Human Images, Zoomorphic",,Ashdod- T.,Iron I
12,Nahal Mishmar- Cave of the Treasure,Late Chalcolithic,0,3,1,yes,,Copper,none,19,none,,"""Cult"" Stand;",,Nahal Mishmar- Cave of the Treasure,Late Chalcolithic
13,Nahal Mishmar- Cave of the Treasure,Late Chalcolithic,2,3,1,yes,,Copper,none,none,16.8,,"""Cult"" Stand;",,Nahal Mishmar- Cave of the Treasure,Late Chalcolithic
14,Nahal Mishmar- Cave of the Treasure,Late Chalcolithic,0,3,1,yes,,Copper,none,none,17.3,,"""Cult"" Stand;Decorated in Relief, Decorated with Animal Heads",,Nahal Mishmar- Me`arat ha-Matmon,Late Chalcolithic
15,Yavne (north-west),Iron IIA,2,133,1,yes,,Pottery,none,15,none,,"""Cult"" Stand;Shrine Model, Decorated in Relief",,Yavne (north-west),Iron IIA
16,Yavne (north-west),Iron IIA,2,133,1,yes,,Pottery,none,none,none,,"""Cult"" Stand;Shrine Model, Decorated in Relief",,Yavne (north-west),Iron IIA
17,Yavne (north-west),Iron IIA,1,133,1,yes,,Pottery,none,none,none,,"""Cult"" Stand;Shrine Model, Decorated in Relief",,Yavne (north-west),Iron IIA
18,Yavne (north-west),Iron IIA,1,133,1,yes,,Pottery,none,none,none,,"""Cult"" Stand;Shrine Model, Decorated in Relief",,Yavne (north-west),Iron IIA
19,Yavne (north-west),Iron IIA,1,133,1,yes,,Pottery,none,none,none,,"""Cult"" Stand;Shrine Model, Decorated in Relief",,Yavne (north-west),Iron IIA
20,Yavne (north-west),Iron IIA,1,133,1,yes,,Pottery,none,none,none,,"""Cult"" Stand;Shrine Model, Decorated in Relief",,Yavne (north-west),Iron IIA
21,Yavne (north-west),Iron IIA,1,133,1,yes,,Pottery,none,none,none,,"""Cult"" Stand;Shrine Model, Decorated in Relief",,Yavne (north-west),Iron IIA
22,Yavne (north-west),Iron IIA,1,133,1,yes,,Pottery,20,none,none,,"""Cult"" Stand;Shrine Model, Decorated in Relief",,Yavne (north-west),Iron IIA
23,Yavne (north-west),Iron IIA,1,133,1,yes,,Pottery,none,none,none,,"""Cult"" Stand;Shrine Model, Decorated in Relief",,Yavne (north-west),Iron IIA
24,Yavne (north-west),Iron IIA,0,133,1,yes,,Pottery,none,none,none,,"""Cult"" Stand;Shrine Model, Decorated in Relief",,Yavne (north-west),Iron IIA
25,Yavne (north-west),Iron II,0,24,1,yes,,Pottery,17.7,none,none,,"""Cult"" Stand;Decorated in Relief",,Yavne (north-west),Iron II
26,Yavne (north-west),Iron II,0,24,1,yes,,Pottery,18.6,none,none,,"""Cult"" Stand;Decorated in Relief",,Yavne (north-west),Iron II
27,Yavne (north-west),Iron II,0,24,1,yes,,Pottery,15.2,none,none,,"""Cult"" Stand;",,Yavne (north-west),Iron II
28,Yavne (north-west),Iron II,0,24,1,yes,,Pottery,none,12.5,none,,"""Cult"" Stand;",,Yavne (north-west),Iron II
29,Yavne (north-west),Iron II,2,24,1,yes,,Pottery,15.6,none,none,,"""Cult"" Stand;Decorated in Relief",,Yavne (north-west),Iron II
