class_id,class_name,num_of_images
0,Maresha- T._Hellenistic,298
1,Lakhish- T._Iron II,263
2,Nahal Pattish (Gilat)_Late Chalcolithic,253
3,Jerusalem- City of David_Iron II,212
4,Nahal Hemar_Pre-Pottery Neolithic B,198
5,`Ujul- T. el-_Middle Bronze II-Late Bronze,188
6,Nahal Mishmar- Me`arat ha-Matmon_Late Chalcolithic,185
7,Me`arat Kebara_Natufian,185
8,Sha`ar ha-Golan_Pottery Neolithic A,183
9,Me`arat ha-Nahal_Upper Palaeolithic,163
10,Me`arat ha-Nahal_Natufian,142
11,Nahal Zin_Upper Palaeolithic,123
12,Horevot Mazada_Roman,122
13,Ha-Gosherim- Nili (north)_Pre-Ghassulian Chalcolithic,106
14,`Enot `Enan_Natufian,106
15,Horevot Mazada_Early Roman (period),104
16,Nahal Hever_Middle Roman,99
17,Me`arat Tannur_Lower Palaeolithic,98
18,Jerusalem- City of David_Hellenistic,98
19,Maresha- T._Persian-Hellenistic,95
20,`Ujul- T. el-_Middle Bronze II,93
21,Ha-Gosherim- Nili (north)_Pottery Neolithic,89
22,Jericho- T._Early Bronze III,88
23,Megiddo- T._Iron IA,86
24,Yavne (north-west)_Iron II,86
25,Megiddo- T._Late Bronze II,85
26,Bet She'an- T._Late Bronze II,85
27,Besamon_Pre-Pottery Neolithic B,84
28,Jerusalem- Old City- Jewish Quarter- Area F- M_Early Roman (period),84
29,Gesher Benot Ya`aqov_Lower Palaeolithic,82
30,`Ujul- T. el-_Late Bronze II,82
31,Ashqelon- T. Ashqelon_Iron IIC,81
32,Minha- H._Pre-Pottery Neolithic B,75
33,Haifa- T. Abu Hawwam_Late Bronze II,75
34,Megiddo- T._Iron I,75
35,Jericho- T._Middle Bronze II,74
36,Me`arat Tannur_Middle Palaeolithic,72
37,Jerusalem- Old City- Jewish Quarter- Area F- M_Late Hellenistic - Early Roman,71
38,Magharat Abu Shinja_Persian,70
39,Ashqelon- T. Ashqelon_Iron II,66
40,Akhziv_Iron II,66
41,`Akko- Persian Garden_Late Bronze II,62
42,`En Gedi_Byzantine,61
43,Gezer- T._Late Bronze,61
44,Jerusalem- `En Rogel_Roman,60
45,Bet She'an- T._Middle Bronze II,58
46,Jerusalem- Old City- Western and Southern Walls_Early Roman (period),58
