valid 	 train
Maresha_ T._Hellenistic 	 Maresha_ T._Hellenistic
Maresha_ T._Hellenistic 	 Jerusalem_ City of David_Early Roman (period)
Maresha_ T._Hellenistic 	 Maresha_ T._Hellenistic
Maresha_ T._Hellenistic 	 Bet She'an_ T._Iron I
Maresha_ T._Hellenistic 	 Caesarea_Early Roman (period)
Maresha_ T._Hellenistic 	 Jerusalem_ Old City_ Jewish Quarter_ Area F_ M_Late Hellenistic - Early Roman
Maresha_ T._Hellenistic 	 Sha`ar ha-Golan_Pottery Neolithic A
Maresha_ T._Hellenistic 	 Sha`ar ha-Golan_Pottery Neolithic A
Maresha_ T._Hellenistic 	 Jerusalem_ Old City_ Jewish Quarter_ Area F_ M_Late Hellenistic - Early Roman
Maresha_ T._Hellenistic 	 Maresha_ T._Hellenistic
Maresha_ T._Hellenistic 	 Maresha_ T._Hellenistic
Maresha_ T._Hellenistic 	 Jerusalem_ Old City_ Jewish Quarter_ Area F_ M_Iron II
Maresha_ T._Hellenistic 	 Jerusalem_ Old City_ Jewish Quarter_ Area F_ M_Iron II
Maresha_ T._Hellenistic 	 Samaria_Iron II
Maresha_ T._Hellenistic 	 Bet She'an_ T._Late Bronze II
Maresha_ T._Hellenistic 	 Jerusalem_ City of David_Hellenistic
Maresha_ T._Hellenistic 	 Maresha_ T._Hellenistic
Maresha_ T._Hellenistic 	 Jerusalem_ Old City_ Jewish Quarter_ Area F_ M_Iron II
Maresha_ T._Hellenistic 	 Maresha_ T._Hellenistic
Maresha_ T._Hellenistic 	 Besamon_Pre-Pottery Neolithic B
Maresha_ T._Hellenistic 	 Besamon_Pre-Pottery Neolithic B
Maresha_ T._Hellenistic 	 Besamon_Pre-Pottery Neolithic B
Maresha_ T._Hellenistic 	 Maresha_ T._Hellenistic
Maresha_ T._Hellenistic 	 Maresha_ T._Hellenistic
Maresha_ T._Hellenistic 	 Maresha_ T._Hellenistic
Maresha_ T._Hellenistic 	 Maresha_ T._Hellenistic
Maresha_ T._Hellenistic 	 Lakhish_ T._Iron II
Maresha_ T._Hellenistic 	 Jerusalem_ Old City_ Jewish Quarter_ Area F_ M_Early Roman (period)
