valid 	 train
Maresha_ T._Hellenistic 	 Maresha_ T._Hellenistic
Maresha_ T._Hellenistic 	 Maresha_ T._Hellenistic
Maresha_ T._Hellenistic 	 Caesarea_Early Roman (period)
Maresha_ T._Hellenistic 	 Bet She'an_ T._Iron I
Maresha_ T._Hellenistic 	 Caesarea_Early Roman (period)
Maresha_ T._Hellenistic 	 Caesarea_Byzantine
Maresha_ T._Hellenistic 	 Sha`ar ha-Golan_Pottery Neolithic A
Maresha_ T._Hellenistic 	 Sha`ar ha-Golan_Pottery Neolithic A
Maresha_ T._Hellenistic 	 Yavne (north-west)_Iron IIA
Maresha_ T._Hellenistic 	 Maresha_ T._Hellenistic
Maresha_ T._Hellenistic 	 Maresha_ T._Hellenistic
Maresha_ T._Hellenistic 	 Jerusalem_ Old City_ Jewish Quarter_ Area F_ M_Iron II
Maresha_ T._Hellenistic 	 Jerusalem_ Old City_ Jewish Quarter_ Area F_ M_Iron II
Maresha_ T._Hellenistic 	 Jerusalem_ Old City_ Western and Southern Walls_Iron II
Maresha_ T._Hellenistic 	 Sha`ar ha-Golan_Pottery Neolithic
Maresha_ T._Hellenistic 	 Jerusalem_ City of David_Hellenistic
Maresha_ T._Hellenistic 	 Maresha_ T._Hellenistic
Maresha_ T._Hellenistic 	 Jerusalem_ Old City_ Jewish Quarter_ Area F_ M_Iron II
Maresha_ T._Hellenistic 	 Maresha_ T._Hellenistic
Maresha_ T._Hellenistic 	 Besamon_Pre-Pottery Neolithic B
Maresha_ T._Hellenistic 	 Besamon_Pottery Neolithic
Maresha_ T._Hellenistic 	 Besamon_Pottery Neolithic
Maresha_ T._Hellenistic 	 Maresha_ T._Hellenistic
Maresha_ T._Hellenistic 	 Maresha_ T._Hellenistic
Maresha_ T._Hellenistic 	 Maresha_ T._Hellenistic
Maresha_ T._Hellenistic 	 Maresha_ T._Hellenistic
Maresha_ T._Hellenistic 	 Jerusalem_ Old City_Early Roman (period)
Maresha_ T._Hellenistic 	 Jerusalem_ Old City_ Jewish Quarter_ Area F_ M_Early Roman (period)
Maresha_ T._Hellenistic 	 Maresha_ T._Hellenistic
Maresha_ T._Hellenistic 	 `En Gedi_Byzantine
Maresha_ T._Hellenistic 	 `En Gedi_Byzantine
Maresha_ T._Hellenistic 	 Jerusalem_ Old City_Early Roman (period)
Maresha_ T._Hellenistic 	 Maresha_ T._Hellenistic
Maresha_ T._Hellenistic 	 Maresha_ T._Hellenistic
Maresha_ T._Hellenistic 	 Maresha_ T._Hellenistic
Maresha_ T._Hellenistic 	 Maresha_ T._Persian-Hellenistic
Maresha_ T._Hellenistic 	 Maresha_ T._Persian-Hellenistic
Maresha_ T._Hellenistic 	 Maresha_ T._Persian-Hellenistic
Maresha_ T._Hellenistic 	 Maresha_ T._Persian-Hellenistic
Maresha_ T._Hellenistic 	 Megiddo_ T._Late Bronze II
Maresha_ T._Hellenistic 	 Megiddo_ T._Late Bronze II
Maresha_ T._Hellenistic 	 Maresha_ T._Hellenistic
Maresha_ T._Hellenistic 	 Maresha_ T._Hellenistic
Maresha_ T._Hellenistic 	 Maresha_ T._Hellenistic
Maresha_ T._Hellenistic 	 Maresha_ T._Hellenistic
Maresha_ T._Hellenistic 	 Ramat Rahel_Iron II
Maresha_ T._Hellenistic 	 Maresha_ T._Hellenistic
Maresha_ T._Hellenistic 	 Maresha_ T._Hellenistic
Maresha_ T._Hellenistic 	 Maresha_ T._Hellenistic
Maresha_ T._Hellenistic 	 Maresha_ T._Hellenistic
Maresha_ T._Hellenistic 	 Maresha_ T._Hellenistic
Me`arat ha-Nahal_Upper Palaeolithic 	 Me`arat ha-Gulgolet_Middle Palaeolithic
Me`arat ha-Nahal_Upper Palaeolithic 	 Me`arat ha-Nahal_Upper Palaeolithic
Me`arat ha-Nahal_Upper Palaeolithic 	 Me`arat Tannur_Lower Palaeolithic
Me`arat ha-Nahal_Upper Palaeolithic 	 Me`arat ha-Nahal_Upper Palaeolithic
Me`arat ha-Nahal_Upper Palaeolithic 	 Me`arat ha-Nahal_Upper Palaeolithic
Me`arat ha-Nahal_Upper Palaeolithic 	 Me`arat ha-Nahal_Upper Palaeolithic
Me`arat ha-Nahal_Upper Palaeolithic 	 Me`arat ha-Nahal_Upper Palaeolithic
Me`arat ha-Nahal_Upper Palaeolithic 	 Me`arat ha-Nahal_Upper Palaeolithic
Me`arat ha-Nahal_Upper Palaeolithic 	 Me`arat ha-Nahal_Upper Palaeolithic
Me`arat ha-Nahal_Upper Palaeolithic 	 Me`arat ha-Nahal_Upper Palaeolithic
Me`arat ha-Nahal_Upper Palaeolithic 	 Me`arat ha-Nahal_Upper Palaeolithic
Me`arat ha-Nahal_Upper Palaeolithic 	 Me`arat Amira_Upper Palaeolithic
Me`arat ha-Nahal_Upper Palaeolithic 	 Me`arat Amira_Upper Palaeolithic
Me`arat ha-Nahal_Upper Palaeolithic 	 Jericho_ T._Pre-Pottery Neolithic B
